Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
24048,11,Kangarwa Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (969937.408810576 1516445.8746304503),Valid,POINT (13.341960000000029 13.679030000000068)
5778,12,Anguwan Banki Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (786889.3586192976 1166756.2714299383),Valid,POINT (11.621330000348964 10.543952000321212)
1455,13,Jeki Kanakuri Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (828829.4425907007 1114322.5159332894),Valid,POINT (11.999712000441718 10.06696900023371)
4870,14,Gwangang Chata Dispensary,Partially Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (839778.9990515995 1155171.541901472),Valid,POINT (12.103089999682197 10.434960000266301)
895,15,Wajiroko Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (885546.1775615009 1210950.1959751323),Valid,POINT (12.526363000276321 10.934143000437643)
2750,16,Ngulde Primary Health Care,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (888062.2488681942 1177545.5357434112),Valid,POINT (12.545808000488307 10.63234300037874)
2043,17,Meleri Primary Health Care,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (887120.9395840259 1461279.302632405),Valid,POINT (12.5705650003095 13.193403000498677)
2066,18,Asaga Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Mobbar,Borno,POINT (902026.0681496998 1473475.185821154),Valid,POINT (12.709509999716092 13.301499999945465)
2015,19,Huwa Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (905224.7381464057 1475638.7636704445),Valid,POINT (12.739279999943392 13.32058999991625)
2454,20,Shikarkir Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (913144.1185381868 1196727.7888115668),Valid,POINT (12.776800000436479 10.802780000182675)
1836,21,Bambila Health Post,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (915264.1399302469 1199974.3375970444),Valid,POINT (12.796519999835311 10.83183999992758)
164,22,Yerwa Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (922653.9547080849 1248966.9567641574),Valid,POINT (12.86977399960796 11.27307399972534)
763,23,Koljiri Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (925826.4827595266 1228049.619026939),Valid,POINT (12.89624999959716 11.083960000231286)
1774,24,Mifa Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (926930.9425349986 1206422.4626861583),Valid,POINT (12.903769999706638 10.888689999554456)
353,25,Bulublin Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (926605.5219601385 1261718.1475812492),Valid,POINT (12.907460000213801 11.387649999574364)
580,26,Njaba Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (931863.4477107364 1234080.0361742047),Valid,POINT (12.952129999564988 11.137649999711128)
954,27,Kaumutayahi Health Post,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (933255.5967793581 1203185.059491917),Valid,POINT (12.961119999673258 10.858740000204874)
11525,28,Gajigana Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Magumeri,Borno,POINT (946721.4230563474 1357585.8923664945),Valid,POINT (13.104269999936943 12.24989500042932)
467,29,Bulturam Health Center,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (959185.413157854 1430202.771134684),Valid,POINT (13.22928999988221 12.903040000210638)
276,30,Mawa Lawanti Primary Health Center,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (961253.5290668868 1366074.4899509384),Valid,POINT (13.238760000316633 12.32442000006557)
41,31,Tamsuwu Ngamdua Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Mafa,Borno,POINT (965994.6396885689 1311084.1267723269),Invalid,POINT (13.274357999503763 11.827837999661424)
381,32,Ngom Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (973653.1499308579 1317479.4488450186),Valid,POINT (13.34537999975987 11.88444000011981)
763,33,Goni Adamt Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Guzamala,Borno,POINT (973265.9976221179 1406281.112496202),Valid,POINT (13.355010000303025 12.68522000021221)
1125,34,Tumbun Guni Health Post,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Abadam,Borno,POINT (985818.5338818724 1495070.5995370715),Valid,POINT (13.484750000455278 13.483729999762204)
122,35,Barwati Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1007404.7162406282 1420946.735231677),Valid,POINT (13.670873999917774 12.812065000397409)
727,36,Mal Mastari Health Center,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1010425.9675186251 1290470.0222140609),Valid,POINT (13.677859999664408 11.635610000051543)
285,37,Bumou Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1009660.5261818621 1430183.4395354823),Valid,POINT (13.693140000046467 12.894939999707049)
1112,38,Ajiri Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Mafa,Borno,POINT (1013077.7989902153 1327852.48329843),Valid,POINT (13.707864000050733 11.972136999705809)
709,39,Ngelaiwa Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1018867.417040169 1389124.5288932498),Valid,POINT (13.77078999980597 12.523410000269905)
7917,40,Hudumcha Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1023858.7961451813 1234474.5752923405),Valid,POINT (13.792200000353091 11.12895999980668)
371,41,Buluugu Health Center,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1023466.254677535 1268286.3228952033),Valid,POINT (13.793680000358675 11.433729999883552)
409,42,Sogoma Dispensary,Not Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1045211.1493016372 1326435.6068261096),Valid,POINT (14.001712999707308 11.95427199956737)
522,43,Zangori Primary Health Center,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1059718.357564039 1293440.1263650907),Valid,POINT (14.128890000118135 11.654680000008682)
1548,44,Aligambori Health Clinic,Partially Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (975038.3162606371 1403517.0346762666),Valid,POINT (13.370860000072355 12.660030000096755)
19294,45,Ajiri Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953023.6307018548 1310478.182796577),Valid,POINT (13.15551999975895 11.824140000148816)
930,46,Garin Bulama Ibrahim Health Post,Partially Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (840760.3197888876 1130894.1324057414),Valid,POINT (12.109886000299753 10.215624000237767)
4301,47,Kurba Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (804008.3384348295 1159091.15283038),Valid,POINT (11.777004566399725 10.473374079687616)
648,48,Aduwa Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (955022.3472520573 1421562.127365697),Valid,POINT (13.189723312159963 12.825731621224817)
977,49,Ajigin Mairi Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (859071.6968386415 1236852.715014115),Valid,POINT (12.287109375000055 11.170715332000043)
361,50,Lainalli Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (990223.003025925 1406816.0569166648),Valid,POINT (13.510800000155028 12.687439999720594)
40367,51,Tandari Family Support Programme,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1012478.9868759507 1278589.1045744126),Valid,POINT (13.694840000201507 11.52822000008507)
27043,52,Gwoza Town Health Clinic,Partially Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1013944.1309071605 1229590.4267637052),Valid,POINT (13.701010000393751 11.086369999868737)
3253,53,Grim Primary Health Center,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (829020.2340328908 1170867.0569681998),Valid,POINT (12.00630038358891 10.577657339462366)
25160,54,Hausari Idp Camp,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (909998.1657623888 1234944.7321620407),Valid,POINT (12.752439999999998 11.14802)
21122,55,Farm Center Idp Camp,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (957120.8019468497 1310240.0950568614),Valid,POINT (13.193 11.82144)
39079,56,Taimakon Jamaa Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (955254.6162539743 1313492.2997573041),Valid,POINT (13.17636 11.851025)
578,57,Maska Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (982079.7482548903 1352456.304602452),Valid,POINT (13.4277 12.198599999999999)
16108,58,Ramat Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951498.0721305328 1308917.7706436398),Valid,POINT (13.14134 11.81027)
37684,59,Acf Water Board Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Monguno,Borno,POINT (1001472.4105086153 1406518.4096188014),Valid,POINT (13.61403 12.682980000000002)
37731,60,Icrc Ggss Idp Camp Clinic,Functional,Primary,Educational Clinic,2020-07-04T13:49:18,Monguno,Borno,POINT (1002287.4859537159 1405951.5049581737),Valid,POINT (13.621420000000002 12.67774)
44077,61,Unicef Gdss Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Monguno,Borno,POINT (1000610.7834283137 1405408.137328225),Valid,POINT (13.605939999999999 12.673109999999996)
34557,62,Unicef Ggss Idp Camp Clinic,Functional,Primary,Educational Clinic,2020-07-04T13:49:18,Monguno,Borno,POINT (1002309.7585788018 1406108.334644458),Valid,POINT (13.621649999999999 12.679149999999998)
712,63,Ndufu Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1074994.960750863 1356987.9356690878),Valid,POINT (14.2795647 12.224393300000001)
8856,64,Nursing Village Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (949037.4863201518 1311277.1921175527),Valid,POINT (13.11913 11.831879999999998)
2328,65,Khadammari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (960568.323177102 1324398.2762700287),Valid,POINT (13.2265358 11.94866)
12860,66,Mastagujari Health Clinic,Not Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (982377.1745229939 1292047.3790933471),Valid,POINT (13.42157839 11.653891220000002)
420,67,Azaya Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (972987.9431414788 1325216.3346728988),Valid,POINT (13.3404 11.954299999999996)
20067,68,Gatamarwa Family Support Programme Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Chibok,Borno,POINT (920484.928756662 1204247.703759674),Valid,POINT (12.844669999999999 10.869810000000001)
9360,69,Kaza Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1036427.9423507452 1336586.183519724),Valid,POINT (13.92301 12.047149999999998)
29010,70,Mudu Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1035756.1684327936 1334754.999368282),Valid,POINT (13.91656 12.030759999999999)
26544,71,Gubio Road Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1095435.7365128575 1362465.8651829802),Valid,POINT (14.46768 12.270040000000002)
20053,72,National Primary Health Care Scheme,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952358.6828619903 1311200.0264041186),Valid,POINT (13.149529999999999 11.830739999999997)
361,73,Lingir Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (990317.8751142274 1406929.384795602),Valid,POINT (13.511689099999998 12.6884468)
33131,74,Lambu 2 Idp Camp Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (953987.7085030905 1315443.3292288291),Valid,POINT (13.16502667 11.86879333)
25258,75,Madinatu Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (955542.4331688675 1316505.727363236),Valid,POINT (13.179410000000003 11.878165)
174,76,Dille Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (953026.4572018608 1157615.366944721),Valid,POINT (13.135999999999997 10.445299999999998)
17170,77,Divine Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (956398.9457878617 1308191.3936803692),Valid,POINT (13.186110000000001 11.80306)
667,78,Ngurthavu Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (967538.5967786149 1193851.7991970105),Valid,POINT (13.272781669999999 10.770371669999998)
1636,79,Berum Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (817183.6474388443 1184888.7004532265),Valid,POINT (11.899443 10.705321000000001)
1576,80,Kopchi Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (955131.3429709689 1204478.374284623),Valid,POINT (13.1609274 10.8677666)
44385,81,Kachallaburari Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (910895.2977189647 1235731.8029532447),Valid,POINT (12.760730000000002 11.155019999999997)
9194,82,Gudumbali General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Guzamala,Borno,POINT (953706.8739678008 1434422.9440802482),Valid,POINT (13.1795595 12.941910999999998)
1457,83,Gyarha Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (864096.6522039245 1175974.9697756753),Valid,POINT (12.32694 10.620559999999998)
26398,84,Rann General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1095254.5823731339 1362256.1780664725),Valid,POINT (14.4659828 12.268185599999999)
80,85,Konduga Idp Camp Boarding Primary School Clinic,Functional,Primary,Educational Clinic,2020-07-04T13:49:18,Konduga,Borno,POINT (981180.5003761977 1294463.0790416992),Invalid,POINT (13.41097677 11.67584107)
93,86,Kaijiya Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Magumeri,Borno,POINT (910973.1287689337 1338660.2534280394),Invalid,POINT (12.77393833 12.0838333)
149,176,Andara Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1071203.5872488464 1276283.8186051098),Valid,POINT (14.23095 11.49828)
417,87,Fuye Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Ngala,Borno,POINT (1063535.939499618 1362441.4291278236),Valid,POINT (14.17561225 12.275507399999997)
18588,88,Gamboru A Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Ngala,Borno,POINT (1066897.847599106 1372077.4078693606),Valid,POINT (14.208115540000001 12.3617006)
1338,89,Izge Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (970402.5047269026 1217344.1841123134),Valid,POINT (13.301945 10.981875)
1988,90,Mukdala Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1049792.6480384592 1334735.183906024),Valid,POINT (14.045022500000002 12.0282845)
4042,91,Barawa Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1023724.5909588502 1226139.5050609247),Valid,POINT (13.78974914 11.053862559999997)
40116,92,Baga Motor Pack Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Maiduguri,Borno,POINT (949281.3043355257 1315538.0241187108),Valid,POINT (13.12194 11.87028)
1572,93,Berum Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (846958.0632483934 1170099.3037912876),Valid,POINT (12.169959999999998 10.56912)
2067,94,Kareji Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (813543.2116385959 1110792.3728388525),Valid,POINT (11.86010742 10.036315920000002)
1501,95,Yerwa Ii Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (943939.7237796914 1241846.8035546744),Valid,POINT (13.06343 11.206240000000001)
6057,96,Magumeri Maternal and Child Health,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (962175.7451466962 1304479.6293482536),Valid,POINT (13.238480000000001 11.7688)
81598,97,Vital Registration Center Zanna Umarti,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954132.231618814 1312450.4806717644),Valid,POINT (13.16594 11.841780000000002)
416,98,Bem Bem Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1071458.2828673392 1258544.4294400234),Valid,POINT (14.230339999999998 11.338479999999997)
463,99,Chuku Ngodowa Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (999785.6704431972 1349864.7501372253),Valid,POINT (13.58956 12.172579999999998)
5718,100,Marte Maternal and Child Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1025660.9361988341 1371671.1940697846),Valid,POINT (13.830183999999997 12.365027)
12549,101,Yawa Veterinary Clinic,Unknown,Primary,Veterinary Clinic,2020-07-04T13:49:18,Abadam,Borno,POINT (961920.9909001411 1509612.4929784755),Valid,POINT (13.266930000000002 13.618699999999997)
31,102,Banki Idp Camp Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1075164.934193829 1259958.3274932257),Invalid,POINT (14.264400000000002 11.350609999999998)
535,103,Garangi Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bayo,Borno,POINT (792873.6404315156 1152993.9283676592),Valid,POINT (11.6749 10.419159999999998)
4880,104,Kalla Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (864184.333800568 1184831.960400186),Valid,POINT (12.32861 10.700519999999997)
2452,105,Central Primary School Idp Camp Clinic,Functional,Primary,Educational Clinic,2020-07-04T13:49:18,Damboa,Borno,POINT (898504.7798447851 1206921.3655381945),Valid,POINT (12.64428 10.896389999999998)
417,106,Badu Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1058718.2067332673 1323767.797101957),Valid,POINT (14.12483 11.92801)
1521,107,Guzamala East Primary Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1065015.7015427598 1334342.4431952466),Valid,POINT (14.184249999999999 12.022189999999998)
2736,108,Ashigashiya Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1078336.3659416758 1337503.5365990088),Valid,POINT (14.30667 12.048359999999999)
193,109,Barawa Pegi Primary Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (974135.1846879057 1246159.1178927608),Valid,POINT (13.33986 11.241239999999998)
2189,110,20 Housing Idp Camp Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1024044.3169367658 1224938.211101069),Valid,POINT (13.792489999999999 11.042989999999996)
2786,111,Limankara Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1026396.0785512193 1231817.0557891857),Valid,POINT (13.814959999999997 11.104639999999998)
3393,112,Takaskala Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1015830.38319766 1230330.3856478608),Valid,POINT (13.718329999999998 11.092769999999998)
120,113,Pulka Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1009990.6209935083 1218566.1277924262),Valid,POINT (13.66336 10.987559999999998)
567,114,Pulka Bokko Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (993043.5454458699 1224419.6091296708),Valid,POINT (13.509539999999998 11.04267)
435,115,Jiddari Maternity Clinic,Unknown,Primary,Maternity Home,2020-07-04T13:49:18,Gwoza,Borno,POINT (1009488.0562303017 1249034.798408886),Valid,POINT (13.66315 11.26227)
40,116,Galangi Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Jere,Borno,POINT (954898.1738923525 1329953.3172029397),Invalid,POINT (13.17537 11.999539999999998)
923,117,777 Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1084800.389065227 1303176.7880745505),Valid,POINT (14.359729999999999 11.73816)
70,118,Ackome Polytechnic Clinic,Unknown,Primary,Educational Clinic,2020-07-04T13:49:18,Kukawa,Borno,POINT (994333.2680629501 1458119.72539937),Invalid,POINT (13.55693 13.14925)
1942,119,Herwa Peace Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1007464.8553956137 1418262.1509060934),Valid,POINT (13.67098 12.787859999999998)
851,120,Gahri Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Mobbar,Borno,POINT (931849.5610097041 1459311.1419019809),Valid,POINT (12.982160000000002 13.169569999999998)
590,121,Kubo Town Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Mobbar,Borno,POINT (889469.7602611769 1428686.9836426831),Valid,POINT (12.58795 12.898959999999997)
3176,122,Walama Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1056122.2591661848 1419927.2379378804),Valid,POINT (14.11795 12.794549999999997)
2667,123,Leho A Dispensary Temp,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (920753.4733776102 1185771.8597209242),Valid,POINT (12.845000000000002 10.703059999999997)
2365,124,Kithludula Primary Health Center Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (950943.6838679198 1180095.0743871168),Valid,POINT (13.119719999999997 10.64833)
33522,125,Ggss Biu,Unknown,Primary,Educational Clinic,2020-07-04T13:49:18,Biu,Borno,POINT (848677.1527353448 1175243.8413072976),Valid,POINT (12.18613 10.615418000000004)
5486,126,Ngoshe General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Gwoza,Borno,POINT (1023860.4568665035 1234893.8966921172),Valid,POINT (13.79227709 11.132738729999998)
1657,127,Guba Dispensary Temp,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (813958.1346270824 1168282.2742061976),Valid,POINT (11.868581660000002 10.55559099)
40839,128,Unicef Idps Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Monguno,Borno,POINT (1001365.477050441 1406405.5698114077),Valid,POINT (13.61303 12.681980000000001)
2599,129,Logumane Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Ngala,Borno,POINT (1046361.8147034209 1354061.3011575143),Valid,POINT (14.016884000000001 12.2029502)
870,130,Salifawa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (807132.018833496 1126719.3622685547),Valid,POINT (11.8029215 10.18069357)
2535,131,Nahuta Dispensary Temp,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (825785.8019206739 1111021.0713696475),Valid,POINT (11.9717 10.0374)
28072,132,Pulka Maternal and Child Health,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1022526.2642452389 1245086.357772029),Valid,POINT (13.78161 11.22479)
6861,133,Dalori Idp Camp Clinic A,Functional,Secondary,Federal Staff Clinic,2020-07-04T13:49:18,Jere,Borno,POINT (960499.4520697547 1305593.065427041),Valid,POINT (13.22329 11.779069999999999)
6133,134,Dalori Idp Camp Clinic B,Functional,Secondary,Federal Staff Clinic,2020-07-04T13:49:18,Jere,Borno,POINT (960579.3617515116 1305727.3254088394),Valid,POINT (13.22404 11.78027)
3609,135,Dalori Idp Camp Clinic C,Functional,Secondary,Federal Staff Clinic,2020-07-04T13:49:18,Jere,Borno,POINT (960893.7589398953 1305887.2995832583),Valid,POINT (13.22694 11.78167)
21935,136,400 Housing Estate Clinic A,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (943757.843000266 1311916.940313165),Valid,POINT (13.07087 11.83835)
1141,137,Ajiri Model Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (1013515.2246453853 1328055.5732849885),Valid,POINT (13.7119 11.9739)
4969,138,400 Housing Estate Clinic B,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (944977.0732452755 1319538.6603369005),Valid,POINT (13.083059999999998 11.90694)
